2026-06-19T10:45:27.276739977Z I0619 10:45:27.276635       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:45:27.277032573Z I0619 10:45:27.276820       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:45:27.408155092Z I0619 10:45:27.407987       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:45:27.408203889Z I0619 10:45:27.408126       1 node_controller.go:271] Update 3 nodes status took 660.68144ms.
2026-06-19T10:50:27.510205543Z I0619 10:50:27.509999       1 batcher.go:146] Batch processing duration: 100.623279ms
2026-06-19T10:50:27.510240993Z I0619 10:50:27.510061       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:50:27.510246211Z I0619 10:50:27.510088       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:50:27.597759695Z I0619 10:50:27.597566       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:50:27.698692243Z I0619 10:50:27.697931       1 batcher.go:146] Batch processing duration: 100.263658ms
2026-06-19T10:50:27.698722737Z I0619 10:50:27.697991       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:50:27.698727764Z I0619 10:50:27.698002       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:50:27.771521954Z I0619 10:50:27.771316       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:50:27.872236131Z I0619 10:50:27.871995       1 batcher.go:146] Batch processing duration: 100.579815ms
2026-06-19T10:50:27.872307811Z I0619 10:50:27.872072       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:50:27.872324372Z I0619 10:50:27.872086       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:50:27.990345577Z I0619 10:50:27.990200       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:50:27.990373030Z I0619 10:50:27.990236       1 node_controller.go:271] Update 3 nodes status took 581.008436ms.
2026-06-19T10:55:28.091541414Z I0619 10:55:28.091356       1 batcher.go:146] Batch processing duration: 100.696498ms
2026-06-19T10:55:28.091608450Z I0619 10:55:28.091437       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:55:28.091613853Z I0619 10:55:28.091451       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:55:28.178931043Z I0619 10:55:28.178762       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
